"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","471","test_successful_registration","selenium_library.suninjuly_github_io.tests","Sat Jun 28 20:49:38 UTC 2025","passed","Sat Jun 28 20:49:38 UTC 2025","TestRegistrationPage","test_registration","",""
"","534","test_login_form","selenium_library.freeconferencecall.tests","Sat Jun 28 20:44:43 UTC 2025","passed","Sat Jun 28 20:44:44 UTC 2025","TestLoginPage","test_login_page","",""
"","803","test_guest_can_add_promo_offer_product_to_basket[7-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:39 UTC 2025","skipped","Sat Jun 28 20:46:40 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","919","test_guest_can_add_new_year_promo_product_to_basket[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:48 UTC 2025","passed","Sat Jun 28 20:45:49 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","352","test_update_object[Update to: Apple MacBook Pro 17]","requests_library.restful_api.tests","Sat Jun 28 20:44:35 UTC 2025","passed","Sat Jun 28 20:44:35 UTC 2025","TestObjects","test_objects","",""
"","755","test_guest_can_add_promo_offer_product_to_basket[2-German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:15 UTC 2025","passed","Sat Jun 28 20:46:15 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","478","test_guest_can_go_to_login_page_from_product_page[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:58 UTC 2025","passed","Sat Jun 28 20:45:59 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","297","test_guest_should_see_login_link_on_product_page[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:54 UTC 2025","passed","Sat Jun 28 20:45:54 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","981","test_guest_can_add_promo_offer_product_to_basket[2-Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:16 UTC 2025","passed","Sat Jun 28 20:46:17 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","10216","test_user_cant_see_success_message[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:48:52 UTC 2025","passed","Sat Jun 28 20:49:03 UTC 2025","TestProductPageAsAuthenticatedUser","test_product_page","",""
"","909","test_guest_can_add_promo_offer_product_to_basket[1-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:06 UTC 2025","passed","Sat Jun 28 20:46:07 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","938","test_guest_can_add_promo_offer_product_to_basket[3-Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:21 UTC 2025","passed","Sat Jun 28 20:46:22 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","917","test_guest_can_add_promo_offer_product_to_basket[3-Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:19 UTC 2025","passed","Sat Jun 28 20:46:19 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","833","test_guest_can_add_new_year_promo_product_to_basket[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:49 UTC 2025","passed","Sat Jun 28 20:45:50 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","24","test_guest_should_see_login_link[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:51 UTC 2025","passed","Sat Jun 28 20:44:51 UTC 2025","TestMainPage","test_main_page","",""
"","398","test_update_object[Update to: Dell XPS 15 Updated]","requests_library.restful_api.tests","Sat Jun 28 20:44:36 UTC 2025","passed","Sat Jun 28 20:44:37 UTC 2025","TestObjects","test_objects","",""
"","436","test_create_new_object[Create object: Dell XPS 15]","requests_library.restful_api.tests","Sat Jun 28 20:44:33 UTC 2025","passed","Sat Jun 28 20:44:33 UTC 2025","TestObjects","test_objects","",""
"","24","test_guest_should_see_basket_link[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:59 UTC 2025","passed","Sat Jun 28 20:44:59 UTC 2025","TestMainPage","test_main_page","",""
"","794","test_guest_can_add_promo_offer_product_to_basket[7-Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:43 UTC 2025","skipped","Sat Jun 28 20:46:44 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","758","test_guest_can_add_promo_offer_product_to_basket[7-German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:42 UTC 2025","skipped","Sat Jun 28 20:46:43 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","1244","test_user_can_add_product_to_basket[Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:48:36 UTC 2025","passed","Sat Jun 28 20:48:38 UTC 2025","TestProductPageAsAuthenticatedUser","test_product_page","",""
"","17","test_simple_button_is_displayed","selenium_library.qa_practice.tests","Sat Jun 28 20:44:47 UTC 2025","passed","Sat Jun 28 20:44:47 UTC 2025","TestSimpleButtonPage","test_simple_button_page","",""
"","492","test_simple_button_is_clickable","selenium_library.qa_practice.tests","Sat Jun 28 20:44:49 UTC 2025","passed","Sat Jun 28 20:44:49 UTC 2025","TestSimpleButtonPage","test_simple_button_page","",""
"","199","test_guest_can_go_to_login_page[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:44:57 UTC 2025","passed","Sat Jun 28 20:44:57 UTC 2025","TestMainPage","test_main_page","",""
"","10288","test_guest_cant_see_success_message[Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:47:50 UTC 2025","passed","Sat Jun 28 20:48:00 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","860","test_guest_can_add_promo_offer_product_to_basket[9-Russian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:52 UTC 2025","passed","Sat Jun 28 20:46:52 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","275","test_guest_should_see_login_link_on_product_page[Ukrainian]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:56 UTC 2025","passed","Sat Jun 28 20:45:56 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","1221","test_successful_verification","selenium_library.suninjuly_github_io.tests","Sat Jun 28 20:49:49 UTC 2025","passed","Sat Jun 28 20:49:51 UTC 2025","TestVerification","test_verification","",""
"","10291","test_user_cant_see_success_message[German]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:49:06 UTC 2025","passed","Sat Jun 28 20:49:16 UTC 2025","TestProductPageAsAuthenticatedUser","test_product_page","",""
"","858","test_guest_can_add_promo_offer_product_to_basket[2-British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:46:12 UTC 2025","passed","Sat Jun 28 20:46:13 UTC 2025","TestProductPageAsGuest","test_product_page","",""
"","424","test_guest_should_see_login_link_on_product_page[British English]","selenium_library.selenium1py_pythonanywhere.tests","Sat Jun 28 20:45:53 UTC 2025","passed","Sat Jun 28 20:45:54 UTC 2025","TestProductPageAsGuest","test_product_page","",""
